distance_km,hour_of_day,is_rush_hour,is_raining,final_price
156.87,18,1,0,4048.36
163.94,16,0,0,3010.18
365.34,4,0,0,6673.88
319.5,17,1,0,7598.43
443.83,22,0,0,8147.01
237.16,20,1,0,5881.65
61.56,17,1,0,1814.39
357.2,7,0,0,6539.63
380.87,14,0,0,7043.5
281.52,12,0,0,5225.48
385.94,12,0,0,6998.79
247.91,15,0,0,4854.64
262.32,21,0,1,5982.41
214.92,19,1,0,5242.93
14.66,12,0,0,572.04
55.73,19,1,0,1620.29
17.65,1,0,0,475.92
318.93,2,0,0,5923.38
158.55,14,0,1,3755.88
255.27,22,0,1,5599.18
453.97,18,1,0,10985.22
126.15,12,0,0,2398.14
206.37,4,0,0,4017.14
378.26,21,0,0,6958.24
115.94,5,0,0,2270.71
40.34,13,0,1,1047.83
146.3,3,0,1,3286.81
82.29,21,0,1,1930.42
464.99,18,1,0,11213.66
404.44,22,0,0,7198.57
317.44,6,0,0,5739.93
435.99,3,0,0,7925.23
402.23,1,0,0,7282.28
94.91,6,0,0,2009.41
446.49,2,0,0,8312.67
270.59,14,0,0,5079.87
404.11,0,0,0,7360.11
448.25,1,0,1,9995.78
160.37,9,1,0,3788.75
56.81,15,0,0,1386.7
115.51,14,0,0,2160.75
214.7,23,0,0,3988.39
409.37,14,0,0,7475.75
430.64,13,0,0,7794.28
5.46,21,0,0,440.83
256.35,13,0,0,4843.23
209.87,5,0,1,4834.75
112.61,13,0,1,2490.0
61.69,16,0,0,1278.57
170.13,17,1,0,4228.2
471.57,19,1,1,13502.73
162.96,18,1,0,3892.11
260.36,16,0,0,4943.99
352.1,15,0,1,7797.59
183.09,7,0,0,3350.08
485.95,6,0,1,10490.94
481.3,19,1,0,11518.06
127.39,11,0,0,2688.02
249.63,8,1,1,7142.08
151.84,13,0,0,2900.12
143.85,19,1,0,3672.15
20.37,0,0,0,389.69
305.56,9,1,1,8766.21
252.33,16,0,0,4606.0
27.64,16,0,0,745.92
140.77,16,0,0,2816.34
454.32,3,0,0,8343.6
121.3,16,0,0,2249.26
74.16,17,1,0,1886.01
245.75,19,1,1,7071.54
492.85,22,0,0,8923.64
122.54,1,0,0,2345.58
336.72,7,0,0,6268.51
381.29,12,0,1,8464.82
120.34,22,0,0,2315.36
364.65,21,0,0,6719.44
185.16,19,1,1,5425.03
316.89,21,0,0,5724.27
317.5,14,0,0,5880.97
268.82,19,1,0,6426.93
46.96,22,0,0,860.62
417.98,8,1,0,10012.82
161.75,2,0,1,3612.59
94.89,2,0,1,2252.32
22.31,1,0,0,636.27
296.26,0,0,0,5387.74
339.43,13,0,0,6268.9
10.26,16,0,0,153.65
257.02,12,0,0,4929.66
114.79,18,1,1,3321.53
323.3,22,0,0,5917.85
88.83,14,0,0,1882.86
346.09,13,0,0,6356.11
194.59,1,0,0,3532.96
468.49,6,0,0,8654.15
70.49,16,0,0,1487.79
171.85,17,1,0,4153.0
58.51,5,0,0,1150.68
462.5,20,1,0,10973.9
438.91,7,0,0,8029.77
130.45,1,0,1,2808.53
330.67,0,0,1,7304.37
408.98,15,0,0,7689.97
278.49,6,0,0,5073.22
265.77,21,0,1,5862.2
122.44,23,0,0,2235.6
48.37,10,1,0,1387.96
448.81,14,0,0,8348.96
450.41,12,0,0,8375.38
317.28,23,0,0,5736.32
170.84,1,0,0,3275.04
175.91,13,0,1,4122.95
363.53,23,0,0,6744.43
448.76,5,0,0,8275.54
443.77,8,1,1,12647.87
390.38,6,0,0,7198.82
321.73,17,1,1,9391.86
43.9,23,0,1,1161.1
82.49,8,1,0,2000.46
449.48,22,0,1,9843.16
304.0,3,0,0,5742.96
6.58,8,1,0,381.45
52.53,3,0,0,1107.5
332.42,11,0,0,6078.23
4.52,3,0,1,396.51
82.08,23,0,0,1793.72
275.27,19,1,0,6762.62
346.56,13,0,0,6532.41
326.68,23,0,0,5994.31
113.69,23,0,0,2146.33
356.67,6,0,0,6554.34
120.15,12,0,1,2779.1
164.05,21,0,0,3245.98
373.75,7,0,0,6994.14
325.52,22,0,0,6063.16
424.91,4,0,0,7655.32
329.49,11,0,0,5912.04
285.02,12,0,0,5304.36
48.65,19,1,0,1421.44
185.12,13,0,0,3474.25
134.07,17,1,0,3523.75
123.51,23,0,0,2264.88
486.56,19,1,0,11459.65
197.76,3,0,0,3643.3
446.24,20,1,0,10566.77
316.31,17,1,1,9168.53
397.82,6,0,0,7268.52
252.31,14,0,0,4536.85
289.3,20,1,0,7053.73
247.27,5,0,0,4424.93
99.23,15,0,0,1829.04
361.78,19,1,1,10230.54
141.82,23,0,1,3264.12
14.11,7,0,1,503.37
323.45,20,1,1,9507.99
90.2,15,0,0,1865.0
470.35,21,0,0,8760.44
477.06,15,0,0,8765.88
457.6,2,0,1,9966.52
186.34,16,0,0,3516.91
9.7,8,1,0,481.16
464.3,2,0,0,8577.83
215.24,19,1,1,6230.58
483.39,6,0,0,8899.97
481.88,17,1,0,11377.75
426.8,11,0,1,9294.52
148.64,18,1,0,3561.49
193.78,15,0,1,4368.08
425.87,21,0,0,7697.81
159.83,23,0,0,2984.41
86.41,16,0,1,2136.69
279.29,19,1,0,6627.4
468.21,14,0,0,8527.26
348.62,0,0,0,6432.37
285.89,1,0,0,5320.72
50.39,7,0,0,1007.16
308.27,21,0,0,5777.61
495.05,1,0,0,9119.89
71.76,18,1,1,2363.06
260.13,8,1,0,6273.84
438.93,8,1,0,10414.72
370.9,12,0,0,6757.99
349.11,5,0,0,6464.75
351.84,14,0,1,7741.97
181.03,18,1,0,4374.11
148.21,20,1,1,4350.87
405.06,14,0,0,7372.74
405.44,17,1,0,9702.12
433.8,6,0,0,7817.18
456.79,10,1,0,10914.28
256.65,7,0,0,4837.33
251.76,5,0,0,4623.5
399.55,7,0,0,7534.12
325.68,1,0,1,7216.49
351.58,18,1,0,8265.83
398.3,15,0,0,7291.36
445.22,6,0,0,8170.27
170.32,9,1,0,4225.42
189.04,11,0,1,4237.53
48.8,16,0,0,927.3
289.98,6,0,0,5260.21
19.9,21,0,0,442.83
233.87,7,0,0,4303.84
272.24,6,0,0,4936.77
144.7,3,0,0,2681.27
296.23,2,0,1,6644.62
17.19,18,1,0,762.07
20.6,14,0,0,596.34
411.66,3,0,0,7690.38
181.37,8,1,0,4536.59
65.28,12,0,1,1673.28
262.08,17,1,1,7559.35
385.46,20,1,0,9228.78
109.48,15,0,0,2078.56
312.2,0,0,0,5747.68
44.5,3,0,0,957.87
27.74,17,1,0,915.41
266.61,7,0,1,5981.21
271.24,19,1,0,6525.75
319.44,15,0,0,5905.48
363.59,20,1,1,10487.05
487.97,10,1,0,11680.34
259.12,19,1,1,7358.12
162.83,20,1,0,3897.54
398.0,20,1,1,11520.65
136.87,20,1,0,3391.78
220.61,18,1,0,5314.81
41.07,22,0,0,862.93
14.62,18,1,0,510.85
481.4,17,1,0,11515.53
418.32,18,1,1,11869.57
348.6,10,1,1,10025.03
205.66,2,0,0,3876.47
88.3,7,0,0,1779.04
79.91,19,1,0,2087.08
126.62,18,1,0,3209.52
275.51,9,1,0,6584.78
357.87,15,0,1,7815.79
330.78,4,0,0,6349.71
141.41,19,1,0,3473.8
477.52,8,1,0,11350.59
369.47,7,0,0,6868.29
278.07,10,1,0,6861.41
306.64,15,0,0,5615.01
210.96,6,0,0,3847.41
125.37,14,0,0,2282.45
179.27,23,0,0,3536.25
379.41,20,1,0,8969.32
9.17,19,1,0,406.77
59.8,22,0,0,1128.75
24.91,16,0,1,573.21
22.28,5,0,0,521.86
428.02,14,0,0,7760.57
352.42,7,0,0,6424.43
238.14,6,0,0,4637.1
50.72,1,0,0,1105.48
246.82,12,0,0,4685.99
237.79,22,0,0,4512.67
88.25,5,0,1,2076.21
218.06,4,0,1,4846.08
200.46,19,1,0,4910.55
308.69,0,0,0,5723.33
318.28,17,1,1,9114.33
24.56,14,0,0,605.09
188.56,22,0,0,3473.39
313.68,9,1,1,9024.94
252.56,2,0,1,5601.81
428.53,4,0,0,7736.69
330.03,23,0,0,5855.41
83.14,12,0,0,1552.64
37.14,7,0,1,1162.7
321.92,21,0,1,7102.61
15.2,20,1,0,628.34
293.72,1,0,0,5224.45
470.23,8,1,0,11097.66
288.59,16,0,0,5209.1
195.31,17,1,1,5698.04
322.36,12,0,0,6194.63
230.21,0,0,0,4339.8
273.72,11,0,0,5246.47
470.85,19,1,0,11187.43
194.28,19,1,0,4877.62
480.67,20,1,0,11650.07
452.86,4,0,1,9950.94
99.5,7,0,0,1887.15
36.54,14,0,1,837.52
52.19,2,0,0,1058.47
11.07,5,0,0,357.53
49.03,12,0,0,1235.68
342.14,11,0,1,7440.67
37.45,18,1,0,1077.34
160.85,17,1,0,3777.46
422.75,23,0,0,7716.79
13.59,0,0,0,425.75
407.61,6,0,1,9035.53
142.36,11,0,1,3313.96
60.85,9,1,0,1658.54
348.98,11,0,0,6489.59
315.21,10,1,0,7575.57
438.98,3,0,0,7946.87
368.07,18,1,1,10384.11
402.13,5,0,1,8811.41
142.45,8,1,0,3514.94
90.36,19,1,0,2434.93
375.81,9,1,0,8978.8
403.8,4,0,0,7398.81
495.27,12,0,0,9103.44
207.48,8,1,0,5023.12
187.27,1,0,0,3601.82
388.65,17,1,0,9487.43
171.72,20,1,0,4432.33
465.52,0,0,0,8539.01
429.49,23,0,1,9490.66
215.64,20,1,0,5398.84
375.93,11,0,1,8285.17
377.76,9,1,0,9102.56
53.36,1,0,1,1218.97
451.47,8,1,1,12880.23
253.62,1,0,0,4830.69
413.58,22,0,0,7522.55
161.38,23,0,1,3653.1
447.97,21,0,0,8056.05
195.82,13,0,1,4610.34
7.4,10,1,0,494.4
452.88,22,0,0,8320.65
47.46,10,1,0,1356.33
161.02,16,0,0,3087.92
475.13,3,0,1,10581.26
475.4,12,0,0,8655.36
287.57,6,0,0,5399.52
316.65,15,0,0,5957.53
225.33,0,0,0,4327.4
148.02,12,0,0,2588.4
165.67,0,0,0,3072.22
336.91,10,1,0,7976.88
376.68,5,0,0,6945.24
396.21,19,1,0,9264.63
395.23,2,0,0,7059.57
47.42,11,0,1,1421.3
248.22,4,0,1,5603.35
30.66,8,1,0,924.64
275.67,11,0,0,5148.34
221.88,9,1,0,5401.68
444.08,18,1,0,10686.13
176.76,4,0,0,3268.36
60.3,4,0,1,1501.13
73.21,8,1,0,1930.85
381.23,19,1,1,10834.32
309.87,16,0,0,5855.41
52.36,9,1,0,1375.64
43.89,20,1,1,1568.04
351.08,0,0,0,6480.98
38.24,21,0,0,1001.61
411.29,15,0,0,7449.02
353.71,14,0,0,6408.28
42.51,22,0,0,824.64
44.25,16,0,0,959.81
493.35,19,1,0,11893.46
188.39,12,0,0,3700.27
186.58,0,0,1,3979.13
406.77,7,0,0,7496.91
473.73,4,0,0,8355.84
493.03,5,0,0,9104.02
377.18,22,0,0,7051.1
189.38,19,1,0,4622.4
43.58,13,0,0,942.9
389.02,21,0,0,7159.71
280.09,22,0,0,5113.09
213.26,10,1,0,5228.51
453.36,5,0,1,9949.53
57.38,10,1,0,1630.64
247.33,12,0,0,4590.53
7.65,11,0,0,201.67
235.39,21,0,0,4233.49
30.04,1,0,1,642.44
61.17,20,1,0,1757.66
60.53,2,0,1,1441.63
325.31,22,0,0,6039.38
373.53,3,0,0,7051.87
292.52,16,0,1,6442.1
481.16,21,0,0,8748.17
188.69,5,0,1,4242.39
144.28,6,0,0,2750.07
434.56,14,0,0,8160.88
113.35,10,1,0,3003.99
481.68,23,0,0,8882.41
8.05,2,0,0,439.89
485.0,5,0,0,8862.17
23.49,1,0,0,602.8
445.79,13,0,0,8144.06
264.8,8,1,0,6262.17
496.5,17,1,1,14296.01
38.75,18,1,0,1154.94
277.82,11,0,0,5152.56
484.71,12,0,0,8874.58
262.5,11,0,1,5699.44
315.44,11,0,0,5730.18
348.48,17,1,0,8383.11
228.36,8,1,0,5485.75
314.52,16,0,0,5789.66
292.99,20,1,0,7040.47
450.78,15,0,1,9848.53
24.63,16,0,0,496.59
141.92,20,1,0,3354.68
475.3,23,0,1,10431.93
445.35,7,0,0,8228.19
228.92,10,1,1,6497.63
310.83,23,0,1,6891.44
140.14,1,0,0,2700.56
95.68,7,0,0,1773.36
232.92,11,0,0,4484.81
177.97,20,1,0,4320.91
292.66,0,0,1,6491.35
40.71,22,0,1,1043.25
487.25,12,0,0,8743.4
493.13,21,0,0,9127.27
349.68,20,1,0,8282.07
268.98,16,0,0,4967.92
156.14,13,0,0,3020.37
407.27,13,0,1,9123.12
343.0,15,0,0,6215.94
82.98,16,0,1,1927.79
455.64,5,0,0,8489.79
411.62,6,0,0,7605.6
475.0,0,0,0,8767.12
363.41,14,0,1,7924.51
307.48,19,1,0,7352.13
210.29,20,1,0,5098.89
466.5,17,1,0,11025.28
433.3,12,0,0,7781.94
24.52,23,0,0,540.29
15.13,1,0,0,557.78
189.48,18,1,0,4634.72
405.66,14,0,0,7589.23
493.66,11,0,0,9053.85
76.91,14,0,1,1764.73
297.88,17,1,0,7293.09
191.68,13,0,0,3621.54
485.02,5,0,0,8976.5
421.38,11,0,0,7627.92
419.49,19,1,0,10114.89
235.41,22,0,1,5371.73
208.58,5,0,0,3933.42
138.16,8,1,0,3347.18
30.07,3,0,0,686.75
432.63,16,0,0,7998.5
406.82,1,0,1,8990.87
499.86,15,0,1,11037.07
498.33,23,0,0,9221.08
278.6,13,0,0,5100.05
384.96,7,0,1,8379.54
472.49,13,0,0,8651.13
425.12,1,0,0,7769.26
125.18,15,0,1,2962.46
226.37,3,0,0,4117.23
66.32,0,0,0,1445.82
477.12,22,0,1,10621.1
303.87,19,1,0,7305.7
115.86,13,0,0,2241.63
336.51,7,0,0,6130.37
309.83,2,0,0,5672.64
180.37,4,0,0,3355.74
58.55,5,0,0,1348.22
336.44,21,0,0,6198.8
261.11,7,0,1,5687.83
386.61,5,0,0,7134.6
261.04,5,0,0,4931.37
426.39,3,0,0,7822.41
276.85,6,0,1,6306.87
281.35,23,0,0,5292.0
438.57,18,1,0,10352.71
202.93,6,0,0,3747.68
68.74,2,0,0,1409.94
16.33,7,0,0,277.39
378.06,0,0,0,6988.69
310.91,0,0,1,6719.59
352.63,13,0,1,7899.19
108.06,5,0,1,2604.74
69.91,9,1,0,1881.44
9.24,13,0,1,312.07
176.59,3,0,1,4011.42
295.78,5,0,0,5422.68
197.34,15,0,0,3598.99
219.86,20,1,0,5305.91
452.27,0,0,0,8360.71
175.43,5,0,0,3312.14
257.97,8,1,0,6376.49
392.26,14,0,0,7287.24
199.48,11,0,0,3806.48
311.8,2,0,0,5601.49
431.46,10,1,0,10262.58
474.86,14,0,1,10330.57
75.24,2,0,1,1786.94
463.44,13,0,0,8422.6
247.07,1,0,0,4559.57
130.61,3,0,0,2607.02
230.65,18,1,0,5639.73
490.06,11,0,0,9071.72
247.32,1,0,0,4441.76
165.72,16,0,1,3765.31
317.43,2,0,0,5960.48
121.59,9,1,0,3190.89
39.78,15,0,0,711.23
66.18,21,0,0,1306.13
65.77,8,1,0,1837.37
77.65,10,1,0,1992.72
71.14,20,1,0,1768.54
321.16,14,0,0,5775.8
92.58,2,0,0,1721.5
174.14,15,0,0,3115.67
448.6,20,1,0,10698.1
238.03,20,1,0,5854.6
334.44,20,1,0,7894.89
87.82,11,0,0,1756.45
97.76,22,0,0,1994.21
22.35,4,0,0,552.08
86.13,6,0,0,1539.26
140.74,8,1,0,3526.89
90.15,20,1,0,2299.07
46.17,17,1,0,1259.82
62.08,20,1,0,1592.91
231.47,7,0,1,5188.38
104.75,11,0,0,2086.56
183.41,19,1,0,4725.77
252.7,1,0,0,4709.87
345.82,9,1,0,8438.22
21.58,18,1,0,735.69
400.11,8,1,0,9547.54
314.69,23,0,0,5829.35
42.72,7,0,1,980.49
437.04,23,0,0,8047.34
460.59,23,0,0,8241.49
32.42,23,0,0,647.24
139.89,0,0,0,2678.92
403.49,5,0,1,9014.74
374.63,11,0,0,7036.46
93.89,23,0,1,2184.4
106.26,18,1,0,2696.96
186.5,16,0,0,3605.35
243.29,1,0,0,4396.31
309.89,10,1,0,7486.92
185.72,17,1,0,4458.04
232.34,22,0,0,4314.98
374.24,21,0,0,6840.43
20.27,10,1,0,712.81
127.71,17,1,0,3238.53
357.25,7,0,0,6669.57
447.81,14,0,0,8245.45
256.82,8,1,0,6221.64
266.99,14,0,0,5141.27
55.37,6,0,0,994.25
224.81,19,1,1,6716.26
267.24,12,0,0,4931.4
122.75,12,0,0,2416.59
136.08,0,0,0,2566.93
189.89,19,1,0,4568.11
12.0,3,0,0,414.38
162.4,23,0,0,3177.33
107.3,3,0,0,2128.72
165.09,3,0,0,3067.47
61.64,12,0,1,1872.59
445.48,1,0,1,9922.28
297.61,22,0,0,5600.3
340.19,14,0,0,6238.18
395.01,3,0,0,7197.61
250.22,5,0,0,4626.05
45.29,2,0,0,1073.29
269.48,6,0,0,4901.56
294.25,5,0,0,5339.62
373.23,2,0,1,8295.7
216.97,3,0,1,4898.4
65.53,9,1,0,1651.49
143.32,20,1,0,3439.58
182.81,8,1,0,4616.66
323.67,5,0,0,6011.7
286.25,19,1,0,6756.84
179.34,10,1,1,5140.4
493.28,6,0,0,8992.97
303.68,17,1,0,7374.3
120.14,3,0,0,2372.0
52.69,4,0,0,1211.55
78.12,3,0,0,1407.19
124.49,3,0,0,2413.15
82.02,12,0,1,2094.21
94.91,15,0,0,1991.67
143.98,13,0,0,2777.48
88.34,10,1,0,2496.96
448.59,1,0,0,8285.53
41.96,21,0,0,1009.49
263.21,13,0,0,4892.16
206.38,23,0,0,3786.7
491.22,23,0,0,8904.52
57.8,6,0,0,1208.48
200.13,10,1,0,4856.94
484.8,3,0,0,8699.47
433.02,6,0,0,7841.83
408.9,15,0,0,7478.39
130.44,5,0,0,2570.57
87.1,5,0,0,1716.23
334.98,1,0,0,6172.51
464.83,23,0,0,8418.24
279.27,7,0,0,5179.14
286.66,6,0,0,5441.85
141.43,23,0,1,3250.44
385.21,13,0,0,6933.0
95.15,8,1,1,2780.6
163.19,14,0,0,3146.34
213.87,21,0,0,3977.18
254.79,17,1,1,7381.04
122.72,11,0,1,2769.48
59.19,22,0,0,1265.74
306.09,18,1,0,7327.39
145.74,12,0,0,2754.62
291.46,6,0,0,5311.1
78.87,9,1,0,2132.79
241.61,9,1,0,5826.51
267.23,1,0,1,6012.95
27.81,13,0,0,531.19
169.63,12,0,0,3376.71
68.94,21,0,0,1518.63
33.56,5,0,0,563.11
495.0,8,1,0,11697.81
162.53,12,0,0,3123.34
405.32,8,1,0,9547.46
128.81,12,0,0,2455.44
341.39,4,0,0,6337.65
380.59,13,0,0,6982.21
298.63,4,0,0,5579.19
236.84,8,1,0,5667.84
207.1,7,0,0,3653.32
175.74,6,0,1,4074.12
464.91,7,0,0,8615.88
415.65,21,0,0,7882.04
482.58,2,0,0,8615.78
63.9,22,0,0,1375.28
365.97,23,0,0,6540.63
469.29,14,0,0,8772.93
92.25,7,0,1,2221.47
35.12,0,0,0,686.88
371.08,6,0,0,6907.43
288.09,18,1,0,6880.95
421.23,1,0,0,7762.19
71.61,13,0,0,1459.52
398.04,17,1,0,9683.63
102.41,14,0,0,2174.88
83.5,13,0,1,1923.89
83.8,23,0,0,1764.29
407.66,18,1,1,11716.53
333.27,18,1,0,7852.21
262.49,21,0,0,4805.14
180.7,16,0,0,3636.17
438.85,21,0,0,8085.01
197.44,18,1,0,4915.02
408.67,15,0,0,7484.79
220.69,19,1,0,5305.13
189.72,18,1,0,4637.14
232.41,0,0,0,4306.85
152.09,18,1,0,3604.49
374.31,6,0,0,6787.24
252.35,22,0,0,4763.17
117.64,10,1,0,2909.75
449.99,4,0,0,8252.36
193.18,16,0,0,3650.69
272.69,10,1,0,6607.24
453.42,23,0,0,8426.27
312.87,7,0,0,5671.8
60.22,9,1,0,1661.06
470.04,11,0,0,8686.16
314.6,9,1,0,7655.19
168.78,12,0,0,3046.8
71.36,17,1,1,2263.2
397.42,9,1,0,9666.34
310.8,18,1,0,7457.72
267.66,19,1,0,6506.68
447.16,16,0,1,9916.66
394.72,19,1,0,9328.93
77.53,15,0,0,1729.0
157.24,4,0,1,3626.28
125.75,2,0,0,2465.41
372.49,14,0,1,8059.48
18.7,1,0,0,566.04
285.81,12,0,0,5345.13
381.7,21,0,0,7183.1
438.63,7,0,0,8014.2
172.36,22,0,0,3153.65
410.99,16,0,0,7479.53
57.09,3,0,0,1127.21
423.53,18,1,1,12014.93
65.49,21,0,0,1457.82
199.85,8,1,0,5004.24
399.05,22,0,1,8779.97
76.66,14,0,0,1490.58
116.17,8,1,0,2731.76
361.68,23,0,0,6729.87
360.58,20,1,0,8797.87
321.29,8,1,0,7649.5
347.59,13,0,0,6394.88
272.28,22,0,0,5094.41
127.4,20,1,0,3348.51
174.16,15,0,0,3304.8
92.44,23,0,0,1833.38
454.41,22,0,0,8347.28
292.53,16,0,0,5273.02
201.62,12,0,1,4390.4
232.08,8,1,1,6669.98
473.75,14,0,0,8778.74
78.37,6,0,0,1527.11
293.94,0,0,1,6476.2
253.93,0,0,0,4666.07
306.5,4,0,0,5653.31
11.02,23,0,0,518.55
436.32,8,1,1,12470.68
466.19,11,0,0,8462.88
283.44,5,0,0,5254.38
348.93,12,0,0,6606.29
461.4,7,0,0,8405.0
354.2,14,0,0,6407.59
77.96,5,0,0,1503.26
288.99,5,0,0,5364.73
304.14,3,0,0,5693.42
213.22,10,1,0,5284.97
368.75,20,1,0,8719.16
467.31,17,1,0,11035.08
462.93,2,0,0,8450.47
226.52,2,0,0,4295.77
58.39,11,0,0,1075.07
492.45,20,1,0,11657.62
419.77,20,1,1,11961.9
64.08,5,0,0,1397.65
460.58,20,1,0,11025.38
435.21,5,0,0,8074.12
260.38,7,0,0,4970.73
296.46,14,0,1,6552.87
200.7,17,1,0,4772.72
29.27,19,1,0,761.85
168.93,15,0,1,3645.04
401.82,5,0,0,7336.9
4.31,20,1,0,257.36
168.08,16,0,0,3254.24
200.29,8,1,0,4883.43
269.62,18,1,1,7755.98
460.09,17,1,0,10949.46
174.48,22,0,1,3844.88
174.78,4,0,1,4057.85
369.28,5,0,0,6718.37
227.2,11,0,0,4125.69
113.85,10,1,0,2940.95
227.31,15,0,0,4299.08
72.15,19,1,0,1710.87
89.84,16,0,0,1852.63
250.19,19,1,0,5975.22
210.62,8,1,1,6110.94
457.59,0,0,0,8405.38
182.47,2,0,0,3493.16
291.13,20,1,1,8453.56
316.87,22,0,0,5848.64
8.52,8,1,0,351.93
332.44,21,0,0,6175.17
90.66,18,1,0,2304.65
480.61,12,0,0,8981.57
76.03,22,0,0,1577.25
208.48,13,0,0,3810.35
44.5,19,1,1,1435.92
498.44,18,1,0,11863.39
252.09,22,0,0,4817.62
298.5,6,0,0,5664.14
35.4,3,0,0,747.66
375.48,11,0,0,6815.28
106.53,22,0,1,2374.96
449.23,13,0,0,8261.4
104.16,1,0,0,2255.25
96.96,0,0,0,1949.23
20.2,17,1,0,508.33
237.09,19,1,0,5670.29
283.29,7,0,0,5186.84
34.72,2,0,0,692.81
388.21,5,0,0,7099.04
227.74,21,0,0,4286.22
263.15,12,0,0,4954.83
221.5,8,1,0,5487.27
201.58,8,1,1,5946.79
280.7,19,1,0,6567.99
79.31,8,1,0,1945.12
92.6,14,0,0,1800.99
431.17,12,0,0,7925.77
473.17,21,0,0,8753.12
187.91,15,0,0,3536.66
136.83,1,0,0,2618.03
322.71,13,0,0,5982.59
205.55,5,0,1,4594.37
14.64,1,0,0,422.25
79.76,7,0,0,1698.34
358.55,3,0,0,6595.58
330.14,20,1,1,9501.43
15.49,23,0,0,425.53
112.54,13,0,0,2305.54
117.08,10,1,1,3410.67
336.6,23,0,0,6386.43
11.82,13,0,0,245.05
53.85,11,0,0,1053.81
400.36,15,0,1,8902.21
90.92,5,0,1,2246.8
327.07,19,1,1,9277.71
120.62,0,0,0,2211.8
51.52,11,0,1,1320.66
123.1,6,0,0,2600.24
361.69,7,0,0,6785.03
428.14,8,1,0,10188.59
415.45,1,0,0,7386.18
199.8,16,0,0,3754.52
334.71,19,1,0,8063.36
104.08,12,0,1,2389.91
147.99,4,0,0,2728.7
448.38,9,1,0,10702.9
8.47,11,0,1,268.83
44.58,16,0,0,1139.74
105.53,20,1,0,2816.01
15.21,5,0,0,489.63
92.35,2,0,0,1821.36
292.35,14,0,0,5346.37
211.87,6,0,0,3961.57
446.55,5,0,1,9989.42
409.09,3,0,0,7600.43
172.23,18,1,0,4245.44
131.19,4,0,0,2603.87
191.09,2,0,0,3644.12
295.97,8,1,0,7160.25
135.5,5,0,1,3204.76
312.83,12,0,0,5832.57
205.89,21,0,0,3941.82
276.92,19,1,1,8026.04
219.19,3,0,0,4070.03
148.64,1,0,0,2770.77
474.33,3,0,0,8621.2
382.28,7,0,0,6870.45
71.78,12,0,1,1639.18
434.5,9,1,0,10268.15
244.74,17,1,0,5871.2
447.49,8,1,0,10822.42
400.33,0,0,1,8811.33
213.76,12,0,1,4821.31
13.19,17,1,0,530.97
135.8,14,0,0,2753.18
271.73,1,0,0,4983.65
317.47,10,1,0,7601.6
130.43,13,0,1,2986.63
71.4,21,0,1,1835.88
417.8,14,0,1,9338.79
492.23,13,0,0,9057.64
263.79,15,0,1,6001.24
